City,City Latitude,City Longitude,Max Temperture,Humidity,Cloud coverage,Wind Speed,City Country,City DateTime
Medicine Hat,50.04,-110.68,18.35,24,75,5.7,CA,1571259168
San Patricio,-26.98,-56.83,21.0,82,97,3.249,PY,1571259168
Najran,17.54,44.22,24.0,31,40,3.1,SA,1571259168
Mercedes,-33.25,-58.03,15.56,96,100,4.02,UY,1571259168
Takoradi,4.89,-1.75,25.32,87,3,3.075,GH,1571259169
El Tigre,8.89,-64.25,29.91,62,86,3.214,VE,1571259169
Muli,28.08,109.56,10.36,91,93,2.27,CN,1571259169
Launceston,-41.43,147.14,5.6,93,86,5.7,AU,1571259169
Aklavik,68.22,-135.01,-4.0,79,20,4.6,CA,1571259169
Filiates,39.6,20.31,18.03,93,20,1.0,GR,1571259170
Gazanjyk,39.24,55.52,14.94,29,0,0.399,TM,1571259170
Srivardhan,18.03,73.02,26.33,71,100,2.313,IN,1571259170
Sao Raimundo das Mangabeiras,-7.02,-45.48,26.18,66,100,1.791,BR,1571259171
Cuxhaven,53.87,8.7,11.89,87,90,3.1,DE,1571259171
Asnaes,55.81,11.5,12.18,100,58,3.1,DK,1571259171
Dingle,11.0,122.67,23.47,91,57,2.725,PH,1571259172
Wanning,48.64,13.53,7.61,93,52,0.5,AT,1571259172
Necochea,-38.55,-58.74,15.41,80,100,1.79,AR,1571259173
Gigmoto,13.78,124.39,27.77,79,100,4.699,PH,1571259173
Zeya,53.74,127.27,-2.24,85,0,0.688,RU,1571259173
Karakol,42.49,78.39,5.31,30,32,1.561,KG,1571259173
Celestun,20.87,-90.4,29.16,77,100,5.53,MX,1571259173
Port Lincoln,-34.72,135.86,8.63,78,3,3.718,AU,1571259174
Belaya Gora,68.54,146.19,-12.52,90,0,2.765,RU,1571259175
Airai,-8.93,125.41,18.36,26,0,1.838,TL,1571259175
Margate,-43.03,147.26,5.59,93,75,3.6,AU,1571259175
Inverell,-29.78,151.11,20.0,78,31,5.324,AU,1571259175
Naze,5.43,7.07,26.0,88,75,5.1,NG,1571259176
Bosaso,11.28,49.18,27.57,77,4,5.264,SO,1571259176
Kamiiso,41.82,140.65,3.53,87,0,1.864,JP,1571259176
Cap-aux-Meules,47.38,-61.86,11.0,71,20,4.1,CA,1571259176
Tilichiki,60.47,166.1,-1.55,76,100,6.847,RU,1571259177
Los Lunas,34.81,-106.76,22.6,14,1,1.369,US,1571259178
Komsomolskiy,67.55,63.78,-5.63,94,23,3.63,RU,1571259178
Northam,-31.65,116.67,7.0,87,1,1.5,AU,1571259178
Rawson,-43.3,-65.11,12.98,62,0,13.144,AR,1571259178
Fairbanks,64.84,-147.72,-2.53,54,40,4.6,US,1571259178
Tsaratanana,-16.8,47.65,20.01,73,1,5.405,MG,1571259179
Skegness,53.14,0.34,7.33,87,20,3.1,GB,1571259179
Lagdo,9.06,13.67,26.0,83,20,1.5,CM,1571259179
Sao Filipe,14.9,-24.5,25.77,82,13,1.794,CV,1571259180
Sao Joao da Barra,-21.64,-41.05,26.0,69,0,7.2,BR,1571259180
Pinsk,52.11,26.1,13.84,76,0,3.811,BY,1571259180
Baykit,61.68,96.39,1.66,96,83,1.469,RU,1571259180
Kushiro,43.11,144.15,5.91,75,58,4.766,JP,1571259182
Batemans Bay,-35.71,150.18,10.86,95,1,3.093,AU,1571259182
Rio Grande,-32.03,-52.1,18.0,93,90,7.2,BR,1571259182
Tromso,69.65,18.96,-5.77,100,14,3.6,NO,1571259183
Hede,60.45,15.49,5.53,93,100,3.1,SE,1571259183
Maniitsoq,65.42,-52.9,2.83,49,100,3.179,GL,1571259183
Chernyshevskiy,63.01,112.47,3.73,96,100,3.48,RU,1571259183
Dakar,14.69,-17.45,28.03,88,20,3.1,SN,1571259184
Micheweni,-4.97,39.83,26.82,81,60,8.477,TZ,1571259184
San Quintin,17.54,120.52,21.95,84,16,1.897,PH,1571259184
Ternate,14.29,120.72,26.08,78,20,3.598,PH,1571259184
Deniliquin,-35.53,144.96,8.89,85,51,4.02,AU,1571259185
Port Hedland,-20.31,118.58,19.0,100,0,2.1,AU,1571259185
Zhuhai,40.71,112.04,6.0,93,20,1.0,CN,1571259185
Ponta do Sol,-20.63,-46.0,24.9,55,98,2.73,BR,1571259185
Olinda,-37.84,145.39,9.15,66,75,9.3,AU,1571259186
Conchal,-22.34,-47.17,28.76,40,40,1.0,BR,1571259187
Ojinaga,29.56,-104.41,25.0,33,1,3.1,US,1571259187
Kirsanov,52.65,42.73,5.1,68,38,3.096,RU,1571259187
Beringovskiy,63.05,179.32,3.13,73,100,1.681,RU,1571259188
Cotonou,6.37,2.43,27.0,88,40,3.1,BJ,1571259188
Binga,-17.62,27.34,26.79,34,0,4.51,ZW,1571259188
Rio Tuba,8.51,117.43,27.91,76,93,6.042,PH,1571259188
Wamba,2.14,27.99,19.48,99,100,1.319,CD,1571259189
Moerai,-22.43,-151.33,21.84,78,61,6.385,PF,1571259189
Ngatea,-37.27,175.5,13.72,82,97,6.7,NZ,1571259189
Sur,22.57,59.53,24.88,59,0,1.038,OM,1571259189
Zambezi,-13.55,23.12,21.27,30,0,2.597,ZM,1571259189
Barra do Garcas,-15.89,-52.26,38.0,22,20,3.1,BR,1571259190
Shelburne,44.08,-80.2,9.29,87,90,3.1,CA,1571259190
Garowe,8.41,48.48,25.57,70,38,4.922,SO,1571259190
Siocon,11.03,124.04,25.58,88,100,4.99,PH,1571259190
Mitzic,0.78,11.55,20.04,99,67,0.836,GA,1571259191
Bonthe,7.53,-12.5,25.8,89,100,2.393,SL,1571259191
Jinhua,29.11,119.65,14.2,82,95,0.205,CN,1571259192
Almaznyy,48.03,40.04,15.0,77,0,6.0,RU,1571259192
Ercis,39.03,43.36,9.0,31,20,2.1,TR,1571259192
Whitehorse,60.72,-135.06,0.27,83,90,1.0,CA,1571259192
Farnham,45.28,-72.97,15.18,51,75,6.2,CA,1571259193
Okhotsk,59.36,143.24,-8.47,54,0,9.096,RU,1571259193
Labuhan,-2.54,115.51,23.03,91,90,0.661,ID,1571259193
Havelock,34.88,-76.9,23.65,88,90,5.1,US,1571259193
Vaitape,-16.52,-151.75,26.59,77,14,4.454,PF,1571259194
Caceres,5.53,-74.53,26.69,70,70,1.185,CO,1571259194
Taltal,-25.41,-70.49,15.92,65,0,3.713,CL,1571259194
Saint-Joseph,43.56,6.97,14.09,76,88,1.5,FR,1571259194
Haines Junction,60.75,-137.51,-4.4,89,88,1.071,CA,1571259194
Clyde River,70.47,-68.59,-2.0,100,75,3.1,CA,1571259195
Podgornoye,57.79,82.64,5.24,94,100,3.867,RU,1571259195
Leon,40.74,-93.75,10.62,57,75,3.1,US,1571259195
Nanortalik,60.14,-45.24,3.88,60,92,4.507,GL,1571259195
Inirida,3.87,-67.92,26.78,94,93,1.231,CO,1571259196
Jimenez,8.54,-82.37,21.67,87,73,2.855,PA,1571259196
Karimpur,23.98,88.63,25.49,81,22,2.423,BD,1571259196
Anloga,5.79,0.9,26.0,88,20,3.1,GH,1571259197
Smithers,54.78,-127.17,9.0,76,90,1.5,CA,1571259198
Lata,30.78,78.62,-3.18,71,0,0.859,IN,1571259198
Vostok,46.45,135.83,-4.63,91,0,2.191,RU,1571259198
Kalabo,-15.0,22.67,24.73,22,43,4.218,ZM,1571259198
Vila,45.18,8.4,12.78,100,75,3.1,IT,1571259199
Kayseri,38.73,35.48,11.0,81,0,1.5,TR,1571259199
Darhan,49.49,105.92,2.92,31,100,2.603,MN,1571259199
Jinchang,38.52,102.19,3.8,74,53,2.07,CN,1571259200
Hirata,37.21,140.56,7.04,95,25,0.259,JP,1571259200
Thinadhoo,0.53,72.93,27.6,79,69,4.976,MV,1571259200
Zvenyhorodka,49.08,30.97,13.54,46,83,2.975,UA,1571259200
Kilindoni,-7.91,39.67,26.78,81,75,6.672,TZ,1571259200
Kaeo,-35.1,173.78,16.82,91,0,4.598,NZ,1571259201
Meulaboh,4.14,96.13,27.04,81,100,4.406,ID,1571259201
Bulgan,48.81,103.53,0.23,46,0,1.169,MN,1571259202
Roald,62.58,6.12,7.26,87,75,1.0,NO,1571259203
Mukhen,48.19,136.14,-1.18,79,0,2.689,RU,1571259203
Coos Bay,43.37,-124.22,14.65,93,90,5.1,US,1571259204
Moose Factory,51.26,-80.61,7.0,81,1,3.1,CA,1571259204
Padang,-0.92,100.36,19.7,96,61,0.73,ID,1571259204
Houma,35.63,111.36,7.6,88,12,1.134,CN,1571259204
Paciran,-6.9,112.33,23.39,85,93,1.169,ID,1571259204
Salinopolis,-0.61,-47.36,27.21,81,47,7.129,BR,1571259205
Slatinany,49.92,15.81,8.03,87,19,1.5,CZ,1571259206
Hay River,60.82,-115.79,2.0,93,90,3.6,CA,1571259206
Saldanha,41.42,-6.55,12.25,79,81,3.585,PT,1571259206
Sigayevo,56.42,53.78,1.67,77,100,0.45,RU,1571259206
Pucallpa,-8.38,-74.54,36.29,34,62,0.826,PE,1571259206
Tambun,-6.26,107.07,25.74,88,40,1.5,ID,1571259207
Empalme,27.96,-110.81,34.36,63,5,5.7,MX,1571259207
Cayenne,4.94,-52.33,29.0,74,40,5.1,GF,1571259208
Bestobe,52.5,73.1,3.34,83,0,5.379,KZ,1571259208
Alta Floresta,-9.87,-56.08,30.0,62,40,2.6,BR,1571259208
Erdenet,49.03,104.04,-0.14,46,0,1.384,MN,1571259208
Mayo,63.59,-135.9,-3.0,73,90,5.1,CA,1571259209
Aleksandrov Gay,50.14,48.57,6.28,61,3,3.063,RU,1571259209
La Ferte-Bernard,48.19,0.65,14.01,87,90,6.2,FR,1571259209
Ucluelet,48.94,-125.55,10.94,93,90,2.6,CA,1571259209
Port Hueneme,34.15,-119.2,29.09,53,75,3.6,US,1571259210
Karacakoy,41.4,28.38,17.25,77,75,3.6,TR,1571259210
Bend,44.06,-121.32,17.52,14,40,6.2,US,1571259211
Mayahi,13.95,7.67,32.56,28,3,0.749,NE,1571259211
Sioux Lookout,50.1,-91.92,4.6,78,75,3.1,CA,1571259213
Weiser,44.25,-116.97,20.9,31,1,1.5,US,1571259213
Alpena,45.06,-83.43,6.46,87,90,9.3,US,1571259213
Manacapuru,-3.3,-60.62,26.0,78,40,1.0,BR,1571259213
Eyl,7.98,49.82,27.33,79,54,4.343,SO,1571259214
Mamlyutka,54.94,68.54,2.5,81,95,6.793,KZ,1571259214
Tsementnozavodskiy,67.62,64.1,-5.63,94,23,3.63,RU,1571259214
Krasnoturansk,54.32,91.57,7.0,70,100,3.0,RU,1571259214
Xiaoyi,37.15,111.77,6.58,82,4,2.565,CN,1571259215
Ewa Beach,21.32,-158.01,26.9,83,90,5.1,US,1571259215
Canon City,39.46,-117.13,22.0,4,1,7.322,US,1571259216
Tabou,4.42,-7.36,24.01,94,100,1.481,CI,1571259216
Gudari,19.34,83.79,20.47,96,52,1.459,IN,1571259216
Ajaccio,41.93,8.74,14.47,72,0,3.1,FR,1571259217
Kamaishi,39.28,141.86,8.7,76,35,2.361,JP,1571259217
Paamiut,61.99,-49.67,3.1,62,100,3.513,GL,1571259217
Rafaela,-31.25,-61.49,15.29,83,100,0.45,AR,1571259217
Carutapera,-1.2,-46.02,27.62,77,100,7.624,BR,1571259218
Valparaiso,41.47,-87.06,10.37,61,90,9.8,US,1571259218
Ouesso,1.61,16.05,21.89,89,0,0.656,CG,1571259218
Antalaha,-14.9,50.28,25.09,78,1,7.274,MG,1571259218
Coahuayana,18.62,-100.35,29.64,67,46,1.228,MX,1571259219
La Rioja,-29.41,-66.86,13.85,52,0,3.011,AR,1571259219
Lowestoft,52.48,1.75,9.29,93,100,1.5,GB,1571259219
Powassan,46.08,-79.36,7.72,100,90,3.6,CA,1571259219
Sao Luiz Gonzaga,-28.41,-54.96,20.39,95,94,1.622,BR,1571259220
San Carlos de Bariloche,-41.13,-71.31,15.0,30,40,6.2,AR,1571259220
Ayan,38.23,44.7,7.4,37,2,1.187,IR,1571259220
Puerto Colombia,10.99,-74.96,28.49,88,75,4.6,CO,1571259220
Husavik,50.56,-96.99,3.59,95,100,2.68,CA,1571259220
Takestan,36.07,49.69,14.0,44,0,3.167,IR,1571259221
Nabire,-3.36,135.5,22.04,95,95,1.042,ID,1571259221
Zhanaozen,43.35,52.85,15.17,45,20,5.372,KZ,1571259222
Amahai,-3.31,129.0,25.83,83,64,2.847,ID,1571259222
Prattville,32.46,-86.46,21.98,64,75,5.1,US,1571259222
Avondale,47.42,-53.19,11.98,93,90,4.6,CA,1571259222
Strezhevoy,60.73,77.6,2.0,93,90,3.0,RU,1571259223
Harstad,68.8,16.53,-0.39,70,40,2.1,NO,1571259223
Tiarei,-17.53,-149.33,27.89,69,20,3.6,PF,1571259224
Boda,4.32,17.47,21.15,92,92,0.655,CF,1571259224
Chimoio,-19.11,33.48,18.0,72,40,1.926,MZ,1571259224
Zonguldak,41.25,31.83,14.88,66,29,1.218,TR,1571259224
Saint George,39.45,22.34,15.92,93,0,0.482,GR,1571259225
Kosino,52.56,19.93,11.09,87,0,4.6,PL,1571259225
Limon,39.26,-103.69,24.6,11,1,5.7,US,1571259225
Te Anau,-45.41,167.72,7.54,75,89,1.031,NZ,1571259225
Amarwara,22.3,79.17,18.81,76,12,1.013,IN,1571259225
Aldan,58.61,125.39,1.25,87,86,5.252,RU,1571259226
Christchurch,-43.53,172.64,12.8,93,0,3.6,NZ,1571259226
Leo,11.1,-2.1,26.32,70,100,1.786,BF,1571259226
Toora-Khem,52.47,96.11,-1.1,94,66,1.103,RU,1571259226
Glenwood Springs,39.55,-107.33,19.65,12,1,2.951,US,1571259227
Pakhtakoron,40.16,68.75,10.71,44,40,2.16,UZ,1571259227
Maceio,-9.67,-35.74,26.0,69,40,4.6,BR,1571259227
Vestmannaeyjar,63.44,-20.27,8.57,72,100,2.782,IS,1571259227
Tazovskiy,67.47,78.7,-4.65,86,49,9.664,RU,1571259227
San Carlos,11.12,-84.78,23.33,58,47,4.02,NI,1571259228
Pemberton,-34.44,116.03,3.93,95,91,1.476,AU,1571259228
Bagdarin,54.44,113.59,-3.96,83,90,0.304,RU,1571259229
Pagsangahan,11.13,124.56,24.03,89,71,1.567,PH,1571259229
Mweka,-4.85,21.56,20.71,99,100,1.225,CD,1571259229
Zbarazh,49.66,25.78,11.16,72,0,2.462,UA,1571259229
Newbury,42.8,-70.86,13.0,66,40,4.6,US,1571259230
Oyotun,-6.85,-79.3,19.0,29,13,8.2,PE,1571259230
Biskamzha,53.45,89.53,3.54,92,100,2.818,RU,1571259230
Kenai,60.55,-151.26,1.18,80,1,2.6,US,1571259230
San Isidro,10.02,-84.06,26.49,51,40,3.6,CR,1571259230
Abay,49.63,72.87,4.0,93,40,3.0,KZ,1571259231
Raha,26.23,92.52,20.27,94,0,1.302,IN,1571259231
Nizwa,22.93,57.53,24.09,37,0,0.322,OM,1571259231
Alice Springs,-23.7,133.88,20.0,32,64,6.2,AU,1571259231
Caravelas,-17.73,-39.27,21.88,75,30,3.265,BR,1571259232
Araouane,18.9,-3.53,33.68,13,10,4.408,ML,1571259232
Rome,41.89,12.48,14.41,82,100,1.0,IT,1571259232
Buraydah,26.33,43.97,27.0,34,100,2.1,SA,1571259232
Dubbo,-32.25,148.6,18.0,59,65,4.6,AU,1571259233
Antofagasta,-23.65,-70.4,17.0,67,40,8.7,CL,1571259233
North Bend,43.41,-124.22,14.29,93,90,5.1,US,1571259233
Along,28.17,94.8,15.96,90,4,1.895,IN,1571259233
Hamilton,43.26,-79.87,10.14,81,75,6.2,CA,1571259233
Dwarka,28.58,77.04,25.0,69,0,2.454,IN,1571259234
Daru,-9.07,143.21,23.55,82,80,2.526,PG,1571259234
Kununurra,-15.77,128.74,22.0,73,4,1.0,AU,1571259234
Mount Gambier,-37.83,140.78,7.0,81,87,5.7,AU,1571259234
Lerwick,60.15,-1.15,11.0,100,75,6.2,GB,1571259234
Ladybrand,-29.19,27.46,17.37,22,0,3.092,ZA,1571259235
Sosnovo-Ozerskoye,52.53,111.54,-0.08,49,7,1.094,RU,1571259235
Isangel,-19.55,169.27,22.0,73,20,7.383,VU,1571259235
Cap Malheureux,-19.98,57.61,20.56,88,75,6.7,MU,1571259235
Mae Sot,16.71,98.57,20.12,92,43,1.209,MM,1571259235
Kankakee,41.12,-87.86,10.88,53,90,6.2,US,1571259236
Kutum,14.2,24.66,21.97,74,95,3.687,SD,1571259236
Upata,8.02,-62.41,29.44,68,50,0.89,VE,1571259236
Russell,38.9,-98.86,18.07,29,1,4.6,US,1571259236
Vila Franca do Campo,37.72,-25.43,18.95,93,20,7.7,PT,1571259236
Denpasar,-8.65,115.22,24.0,94,20,2.1,ID,1571259237
Agadir,30.42,-9.58,18.0,77,100,4.6,MA,1571259237
Ko Samui,9.54,99.94,29.46,68,100,3.346,TH,1571259237
Santo Angelo,-28.3,-54.26,22.76,78,75,3.1,BR,1571259238
Gamba,28.28,88.52,-1.75,54,0,2.051,CN,1571259238
Itaituba,-4.26,-55.99,32.0,59,20,1.492,BR,1571259238
Dabat,12.98,37.77,14.03,76,54,0.563,ET,1571259238
Chumikan,54.72,135.31,-1.27,59,0,6.119,RU,1571259239
Callaway,46.98,-95.91,6.43,75,90,1.5,US,1571259239
Bay City,43.59,-83.89,8.65,75,90,9.8,US,1571259239
Sakaiminato,35.55,133.23,10.0,87,20,1.0,JP,1571259239
Manzhouli,49.6,117.43,2.37,33,68,1.505,CN,1571259239
Ogawara,38.05,140.72,6.32,87,20,1.0,JP,1571259240
Ituporanga,-27.41,-49.6,17.47,98,100,8.49,BR,1571259240
Florianopolis,-27.6,-48.55,18.71,94,90,5.1,BR,1571259240
Serenje,-13.23,30.22,19.01,36,0,3.513,ZM,1571259240
Calabozo,8.92,-67.43,28.6,87,100,1.067,VE,1571259240
Tacuarembo,-31.73,-55.98,15.75,97,100,3.876,UY,1571259241
Malumfashi,11.79,7.62,24.69,73,100,4.226,NG,1571259241
Evensk,61.92,159.24,-5.88,63,100,6.352,RU,1571259241
Mikhaylovka,52.96,103.29,1.19,88,82,2.018,RU,1571259241
Hailar,49.2,119.7,3.27,37,5,2.837,CN,1571259241
Hualmay,-11.1,-77.61,21.35,57,0,4.469,PE,1571259242
Fortuna,40.6,-124.16,16.48,55,90,2.373,US,1571259242
Dicabisagan,17.08,122.42,24.37,87,19,4.482,PH,1571259242
Kaseda,31.42,130.32,16.67,82,81,1.79,JP,1571259242
Kushnarenkovo,55.11,55.34,2.78,69,95,4.92,RU,1571259243
Ostrovnoy,68.05,39.51,-1.88,96,82,1.083,RU,1571259243
Black River,18.03,-77.85,30.0,74,20,4.6,JM,1571259243
Mago,53.27,140.15,-1.35,72,11,2.588,RU,1571259243
Spearfish,44.49,-103.86,18.72,29,1,3.6,US,1571259243
Dibulla,11.27,-73.31,30.0,74,75,5.1,CO,1571259244
Chirongui,-12.93,45.15,26.0,83,3,1.5,YT,1571259244
Diffa,13.32,12.61,31.93,40,100,3.514,NE,1571259244
Fukue,35.03,136.69,15.36,67,75,6.2,JP,1571259244
Geraldton,49.72,-86.95,5.0,78,75,6.2,CA,1571259245
Cootamundra,-34.64,148.03,11.11,96,70,0.89,AU,1571259246
Nuristan,38.49,65.64,12.0,50,11,1.0,UZ,1571259246
Chadiza,-14.06,32.43,19.84,62,0,5.557,ZM,1571259246
Bati,11.19,40.02,20.02,58,88,0.594,ET,1571259246
Illora,37.29,-3.88,14.45,40,20,1.5,ES,1571259246
Clemson,34.69,-82.84,19.68,35,1,4.1,US,1571259247
Phan Thiet,10.93,108.1,22.54,87,86,0.989,VN,1571259247
Parral,-36.14,-71.82,14.9,55,75,3.6,CL,1571259247
